签号,签级,签题,签文,解文,权重
33,小凶,小人暗害,小人暗害最难防，莫信他人莫张扬。守口守心少来往，免教大祸到身旁。,财运：被小人算计、破财；事业：被小人陷害、背锅；感情：被小人挑拨、误会；健康：被小人暗算、受伤；今日建议：防小人，少说话，少来往。,30
34,小凶,财耗有损,财禄耗损有损失，不宜投资不宜赌。守财守己莫妄动，免教钱财付水流。,财运：有破财，忌投资、赌博；事业：有损失，不宜扩张；感情：因财失和，需注意；健康：因财伤身，需注意；今日建议：守财，不花钱，不投资。,30
35,小凶,口舌是非,口舌是非多缠身，莫与人争莫较真。沉默守己为上策，免惹大祸到家门。,财运：因口舌破财、名誉受损；事业：因口舌被批评、降职；感情：因口舌吵架、冷战；健康：因口舌气出病；今日建议：不与人争，沉默是金。,30
36,小凶,不宜出行,不宜出行防凶险，路途恐有祸灾缠。安分守己家中坐，等待时过再向前。,财运：出行破财、被盗；事业：出差不顺、延误；感情：出行吵架、分手；健康：出行受伤、生病；今日建议：少出行，不出远门。,30
37,小凶,谋望难成,谋望之事难成功，中间阻碍万千重。莫强行，莫强求，守待来年运再通。,财运：求财难成，需等待；事业：做事难成，需等待；感情：求爱难成，需等待；健康：康复难成，需等待；今日建议：不强行，不勉强，等待时机。,30
38,小凶,家宅不安,家宅小有不宁静，口舌纷争闹不停。忍让宽容多沟通，免教小事变大刑。,财运：家宅小破财、漏水、停电；事业：因家庭琐事影响工作；感情：家庭小矛盾、夫妻吵架；健康：家人小感冒、不舒服；今日建议：多沟通，多忍让，家庭和睦。,30
39,小凶,感情不顺,感情不顺多风波，误会重重无奈何。冷静沟通莫急躁，否则恐有别离多。,财运：因感情小破财；事业：因感情分心、工作失误；感情：吵架、冷战、误会；健康：因感情心情不好、失眠；今日建议：冷静沟通，互相理解。,30
40,小凶,健康欠安,健康欠安要小心，注意身体莫劳心。检查保养多休息，免教小病变大侵。,财运：因病小破财；事业：因病请假、影响工作；感情：因病被照顾、感情升温；健康：小感冒、疲劳、不舒服；今日建议：注意休息，及时就医。,30
41,小凶,防被骗,提防被骗莫轻信，莫贪高利莫贪心。守财守己莫妄动，免教钱财被人侵。,财运：易被骗，忌贪小利；事业：易被合伙人骗、项目被骗；感情：易被感情骗子骗；健康：易被庸医骗、花冤枉钱；今日建议：不轻信，不贪心，守财为上。,30
42,小凶,进退两难,进退两难路不通，莫行莫动守深宫。等待风云消散后，再谋出路不为穷。,财运：进退都破财，不动则安；事业：进退都失败，不动则稳；感情：进退都受伤，不动则和；健康：进退都生病，不动则康；今日建议：不动，等待时机。,30
43,小凶,破财免灾,破财方可免灾殃，莫为钱财断肝肠。舍财保命为上策，安稳平安度时光。,财运：一定会破财，挡不住；事业：一定会有损失，挡不住；感情：一定会有矛盾，挡不住；健康：一定会有小恙，挡不住；今日建议：主动破财，消灾免祸。,30
44,小凶,是非缠身,是非缠身难脱身，莫管闲事莫当真。远离纷争远离祸，守心守口保安宁。,财运：因是非小破财；事业：因是非被批评、影响晋升；感情：因是非被误解、影响感情；健康：因是非心情不好、影响健康；今日建议：不管闲事，远离是非。,30
45,小凶,事业阻滞,事业阻滞难前行，努力也难有功名。守待时机莫冒进，免教失误毁前程。,财运：事业收入减少、无奖金；事业：工作不顺、压力大、无晋升；感情：因事业压力大、影响感情；健康：因事业劳累、身体不适；今日建议：努力工作，等待时机，不冒进。,30
46,小凶,莫求名利,莫求名利莫强求，贪求反惹祸临头。安分守己清贫过，安稳平安免忧愁。,财运：求名求利反破财；事业：求名求利反失败；感情：求名求利反受伤；健康：求名求利反伤身；今日建议：淡泊名利，知足常乐。,30
47,小凶,人际不和,人际不和多矛盾，无人助力反相侵。守心守己少来往，免教是非惹上身。,财运：被朋友坑、被同事骗；事业：被排挤、被孤立、无人帮；感情：被朋友抢对象、被闺蜜背叛；健康：因人际矛盾心情不好；今日建议：少社交，少来往，独善其身。,30
48,小凶,谨慎守身,谨慎守身莫妄为，风流酒色要远离。免惹祸事免惹灾，安稳平安度光阴。,财运：因酒色小破财；事业：因酒色误事、被批评；感情：因酒色出轨、影响感情；健康：因酒色伤身、不舒服；今日建议：戒酒戒色，谨慎行事。,30
49,小凶,守待为上,守待为上莫前行，妄动必然祸不轻。忍耐一时风与雨，过后依然见太平。,财运：妄动必破财，守待则安；事业：妄动必失败，守待则稳；感情：妄动必吵架，守待则和；健康：妄动必受伤，守待则康；今日建议：忍耐，守待，不妄动。,30
50,小凶,灾小不妨,灾虽不大亦妨身，守待安宁莫出门。谨慎言行无大患，安稳平安度晨昏。,财运：小破财，无大碍；事业：小挫折，无大碍；感情：小矛盾，无大碍；健康：小感冒，无大碍；今日建议：少出门，谨慎言行。,30
51,小凶,运途多舛,运途多舛事难成，处处碰壁心不宁。劝君莫要太急躁，守待时来运自通。,财运：处处破财，事事不顺；事业：处处失败，事事碰壁；感情：事事吵架，事事不顺；健康：事事生病，事事受伤；今日建议：保持耐心，等待时机。,30
52,小凶,官非小扰,官非小扰事不大，破财消灾即可罢。若还强争不肯休，小事变大祸临头。,财运：因官非小破财、罚款；事业：因官非小影响、被警告；感情：因官非小影响、心情差；健康：因官非小焦虑、失眠；今日建议：破财消灾，小事化了。,30
53,小凶,失物难觅,失物难觅影无踪，费尽心思总是空。劝君莫再苦追寻，破财免灾保平安。,财运：丢失小物品、无大碍；事业：丢失小文件、无大碍；感情：丢失小礼物、无大碍；健康：丢失小健康、无大碍；今日建议：放弃寻找，接受损失。,30
54,小凶,谋事多阻,谋事多阻难顺利，中间总有小插曲。耐心坚持终可成，莫因小挫便放弃。,财运：求财多阻，需耐心；事业：做事多阻，需耐心；感情：求爱多阻，需耐心；健康：康复多阻，需耐心；今日建议：耐心坚持，不放弃。,30
55,小凶,六亲少助,六亲少助力不足，凡事只能靠自己。莫指望人来帮衬，独立自强是正途。,财运：无人借钱，无人投资；事业：无人帮助，无人提携；感情：无人介绍，无人关心；健康：无人照顾，只能靠自己；今日建议：独立自强，不依赖别人。,30
56,小凶,运蹇时乖,运蹇时乖步难移，事事不如意。劝君莫要强出头，守待时来运自奇。,财运：事事破财，处处不顺；事业：事事失败，处处碰壁；感情：事事吵架，处处不顺；健康：事事生病，处处受伤；今日建议：低调做人，不与人争。,30
57,小凶,口舌招尤,口舌招尤惹是非，祸从口出要牢记。守口如瓶少言语，免教灾祸到身边。,财运：因口舌小破财；事业：因口舌被批评、降职；感情：因口舌吵架、冷战；健康：因口舌被打、受伤；今日建议：少说话，多做事。,30
58,小凶,疾病缠身,疾病缠身久不愈，药石无功苦自知。劝君安心养身体，莫要操劳费心思。,财运：因病小破财；事业：因病请假、影响工作；感情：因病被照顾、感情升温；健康：慢性病、久治不愈；今日建议：安心养病，停止工作。,30
59,小凶,婚姻多磨,婚姻多磨多坎坷，夫妻不和常吵骂。若还互相多忍让，终能白头共荣华。,财运：因婚姻小破财；事业：因婚姻分心、工作失误；感情：夫妻不和、吵架；健康：因婚姻气出病、失眠；今日建议：互相忍让，多沟通。,30
60,小凶,投机不利,投机不利必破财，取巧反惹祸临身。劝君莫要贪小利，守财安分度光阴。,财运：投机必亏，取巧必败；事业：投机项目失败、公司亏损；感情：因投机失败被抛弃；健康：因投机失败急火攻心；今日建议：不投机，不取巧，守财为上。,30
61,次于中平,微雨阻途,微雨沾衣路稍迷，莫行险处莫贪痴。守心静待风波过，依旧平安不用悲。,财运：小破财，无大碍；事业：小阻滞，耐心可过；感情：小误会，沟通可解；健康：小感冒，无大碍；今日建议：宜静不宜动，耐心等待。,20
62,次于中平,口舌微妨,是非口舌莫相争，退一步时路自平。谨慎言辞无大患，安心守己保安宁。,财运：因口舌小破财；事业：因口舌被批评；感情：因口舌小吵架；健康：因口舌心情不好；今日建议：退一步海阔天空。,20
63,次于中平,小耗财,小小耗财免灾殃，莫为小钱断肝肠。守心守己莫贪利，安稳平安度时光。,财运：小破财，消灾免祸；事业：小损失，无大碍；感情：小花费，无大碍；健康：小花费，无大碍；今日建议：破财消灾，不必在意。,20
64,次于中平,小阻碍,谋望中间小阻碍，耐心守待自然开。莫急莫躁莫强行，免惹小灾免惹灾。,财运：求财小阻，耐心可得；事业：做事小阻，耐心可成；感情：求爱小阻，耐心可得；健康：康复小阻，耐心可愈；今日建议：耐心等待，不急躁。,20
65,次于中平,防小人,小人暗里有微言，谨慎言行莫向前。守待时光风波过，依然安稳度流年。,财运：被小人小算计、小破财；事业：被小人小陷害、小影响；感情：被小人小挑拨、小误会；健康：被小人小暗算、小影响；今日建议：防小人，少说话。,20
66,次于中平,不宜远行,不宜远行防小阻，路途恐有小延误。安分守己家中坐，安稳平安是福途。,财运：远行小破财、小损失；事业：出差小延误、小影响；感情：远行小吵架、小误会；健康：远行小感冒、小不适；今日建议：不远行，少出门。,20
67,次于中平,心情微滞,心情微滞不开心，琐事缠身恼意深。放宽心态莫计较，依旧平安不用嗔。,财运：无破财；事业：无影响；感情：无矛盾；健康：心情差、失眠；今日建议：放松心情，听听音乐。,20
68,次于中平,谋望小迟,谋望之事稍迟延，不是不成慢几天。莫急莫躁莫催促，守待时光自然圆。,财运：求财稍迟，耐心可得；事业：做事稍迟，耐心可成；感情：求爱稍迟，耐心可得；健康：康复稍迟，耐心可愈；今日建议：耐心等待，不催促。,20
69,次于中平,防小误,谨慎提防小失误，莫因大意惹麻烦。细心做事无大患，安稳平安度日常。,财运：因小失误小破财；事业：因小失误被批评；感情：因小失误闹误会；健康：因小失误受小伤；今日建议：细心做事，不马虎。,20
70,次于中平,少聚会,少去聚会少喧哗，免惹口舌免招瑕。安分守己家中守，安稳平安度年华。,财运：聚会小破财；事业：聚会影响工作；感情：聚会惹桃花；健康：聚会喝酒伤身；今日建议：少聚会，多在家。,20
71,次于中平,小烦恼,小小烦恼扰心头，放下随缘不用愁。莫为小事生闷气，伤神伤身不划算。,财运：无破财；事业：无影响；感情：无矛盾；健康：心情差、烦躁；今日建议：放下烦恼，顺其自然。,20
72,次于中平,宜忍宜守,宜忍宜守莫前行，妄动恐招小灾星。忍耐一时风波过，依然安稳保安宁。,财运：妄动小破财，守守则安；事业：妄动小失败，守守则稳；感情：妄动小吵架，守守则和；健康：妄动小受伤，守守则康；今日建议：忍耐，守待。,20
73,次于中平,防漏财,提防漏财小损失，管好钱物莫粗心。谨慎守财无大患，安稳平安度光阴。,财运：丢小东西、花冤枉钱；事业：无影响；感情：无影响；健康：无影响；今日建议：管好钱包，不丢东西。,20
74,次于中平,小是非,小小是非莫当真，清者自清莫较真。退让一步无大祸，安稳平安度晨昏。,财运：无破财；事业：小影响；感情：小误会；健康：心情差；今日建议：不理会，不较真。,20
75,次于中平,身体微恙,身体微恙小不适，注意休息莫操劳。保养调理无大碍，安稳安康自逍遥。,财运：无破财；事业：小影响；感情：无影响；健康：小感冒、疲劳；今日建议：注意休息，多喝水。,20
76,次于中平,莫贪小利,莫贪小利惹麻烦，贪得小便宜失大。安分守己走正路，安稳平安免祸端。,财运：贪小利吃大亏；事业：贪小利误大事；感情：贪小利失人心；健康：贪小利吃坏肚子；今日建议：不贪小利，走正路。,20
77,次于中平,计划小阻,计划略有小阻挡，不是不成慢一场。莫急莫躁莫放弃，坚持终可得安康。,财运：计划稍迟，耐心可得；事业：计划稍迟，耐心可成；感情：计划稍迟，耐心可得；健康：计划稍迟，耐心可愈；今日建议：坚持，不放弃。,20
78,次于中平,少争执,少与人争少斗气，气出病来无人替。忍让宽容无大祸，平安安稳度时光。,财运：无破财；事业：小影响；感情：小矛盾；健康：气出病；今日建议：不争执，多忍让。,20
79,次于中平,守待则安,守待则安莫强求，妄行恐惹小忧愁。安分守己时光过，依旧平安不用愁。,财运：强求小破财，守待则安；事业：强求小失败，守待则稳；感情：强求小受伤，守待则和；健康：强求小不适，守待则康；今日建议：守待，不强求。,20
80,次于中平,平淡度过,平淡度过此段时，无大灾殃无大禧。守心守口莫妄动，安稳平安免祸欺。,财运：无破财；事业：无起伏；感情：无波澜；健康：无大病；今日建议：平淡度日，不折腾。,20
81,中平,渐入佳境,一步一步上高台，虽无急速亦能来。耐心守得云开日，自有清风送福回。,财运：财运渐好，有小收入；事业：事业渐顺，有小进步；感情：感情渐好，有小甜蜜；健康：身体渐好，有小起色；今日建议：循序渐进，不急躁。,12
82,中平,细水长流,不求骤富但求安，细水长流亦可观。守正安分无灾祸，平平淡淡是清欢。,财运：财运平稳，有稳定收入；事业：事业平稳，有稳定发展；感情：感情平稳，有稳定关系；健康：身体平稳，无大病；今日建议：守正安分，不冒进。,12
83,中平,小有安稳,小小安稳度光阴，无大灾殃无大财。守己安心莫乱动，平安无事福自来。,财运：无破财，有小积蓄；事业：无挫折，有小成绩；感情：无矛盾，有小幸福；健康：无大病，有小健康；今日建议：安心度日，不折腾。,12
84,中平,谨慎则吉,谨慎行事则吉祥，莫贪莫急莫逞强。守心守口无灾祸，安稳平安度日常。,财运：谨慎则得财，贪急则破财；事业：谨慎则成功，贪急则失败；感情：谨慎则和睦，贪急则吵架；健康：谨慎则健康，贪急则受伤；今日建议：谨慎行事，不逞强。,12
85,中平,守待时机,时机未到莫强求，守待时光不用愁。待到风云相助日，自然得利不用忧。,财运：时机未到，守财则安；事业：时机未到，守业则稳；感情：时机未到，守情则和；健康：时机未到，守身则康；今日建议：守待时机，不妄动。,12
86,中平,少灾少难,少灾少难保安康，无大纷争无大伤。安分守己多行善，平平淡淡是吉祥。,财运：无大破财，有小收入；事业：无大挫折，有小进步；感情：无大矛盾，有小甜蜜；健康：无大病，有小健康；今日建议：多行善，积福德。,12
87,中平,和合小吉,家庭和合少风波，感情平稳乐呵呵。莫为小事生争执，安稳安康福自多。,财运：家庭和睦则财旺；事业：家庭和睦则业兴；感情：家庭和睦则情顺；健康：家庭和睦则身健；今日建议：家庭和睦，不争吵。,12
88,中平,求财小利,求财只有小利盈，莫贪大财莫强行。谨慎经营无大险，安稳安康度平生。,财运：有小财，无大财；事业：有小成，无大成；感情：有小喜，无大喜；健康：有小安，无大险；今日建议：谨慎经营，不贪大财。,12
89,中平,谋望小成,谋望之事小能成，中间略有小纷争。坚持忍耐终得利，不可急躁不可争。,财运：谋财小成，耐心可得；事业：谋事小成，耐心可成；感情：谋爱小成，耐心可得；健康：康复小成，耐心可愈；今日建议：坚持忍耐，不急躁。,12
90,中平,平稳无虞,平稳度日无灾虞，是非不扰自安居。莫求大变莫求动，安稳安康是福基。,财运：平稳无破财；事业：平稳无挫折；感情：平稳无矛盾；健康：平稳无大病；今日建议：平稳度日，不变动。,12
91,中平,防小失吉,防微杜渐免小失，谨慎言行免祸端。安分守己无大患，平安安稳度时光。,财运：防小失则得财；事业：防小失则成功；感情：防小失则和睦；健康：防小失则健康；今日建议：防微杜渐，不粗心。,12
92,中平,宜静宜守吉,宜静宜守莫前行，妄动恐招小灾星。守待时光风波过，依然安稳保安宁。,财运：静守则财安；事业：静守则业稳；感情：静守则情和；健康：静守则身康；今日建议：静守，不妄动。,12
93,优于中平,旭日初升,旭日初升万象新，出门谋望有知音。虽经小滞终无碍，稳步前行得万金。,财运：财运上升，有不错收入；事业：事业上升，有不错发展；感情：感情上升，有不错进展；健康：身体上升，有不错状态；今日建议：稳步前行，不冒进。,6
94,优于中平,风平浪静,风波已过见青天，万事安然福自然。莫为闲愁生忧虑，顺风顺水过流年。,财运：财运平稳，无破财；事业：事业平稳，无挫折；感情：感情平稳，无矛盾；健康：身体平稳，无大病；今日建议：顺其自然，不忧虑。,6
95,优于中平,贵人助力,贵人暗里助君行，谋望求财不用惊。谨慎前行无大险，平安顺利得功成。,财运：有贵人相助，得财顺利；事业：有贵人相助，做事顺利；感情：有贵人相助，感情顺利；健康：有贵人相助，康复顺利；今日建议：抓住贵人，好好把握。,6
96,优于中平,家和业兴,家庭和睦喜气生，事业平稳向前行。财禄渐增无大险，平安安稳过光阴。,财运：家和则财旺；事业：家和则业兴；感情：家和则情顺；健康：家和则身健；今日建议：家庭和睦，事业兴旺。,6
97,优于中平,谋望可成,心有所谋终可成，中间虽有小纷争。坚持到底无阻碍，得福得财喜临门。,财运：谋财可成，坚持可得；事业：谋事可成，坚持可成；感情：谋爱可成，坚持可得；健康：康复可成，坚持可愈；今日建议：坚持到底，不放弃。,6
98,优于中平,平安吉祥,出入平安福自来，家门吉庆无凶灾。安心守己多行善，万事和谐笑颜开。,财运：平安则财安；事业：平安则业稳；感情：平安则情和；健康：平安则身健；今日建议：多行善，积福德。,6
99,大吉,春风得意,春来无处不飞花，万里青云路不赊。此去前程多顺遂，家门吉庆福无涯。,财运：财运亨通，财源广进；事业：事业顺遂，步步高升；感情：感情美满，幸福甜蜜；健康：身体健康，平安无恙；今日建议：大胆前行，心想事成。,2
100,大吉,金玉满堂,宝镜团圆照满堂，财源广进日荣昌。家门喜庆无灾厄，福禄绵绵岁月长。,财运：财运极佳，金玉满堂；事业：事业极佳，名利双收；感情：感情极佳，阖家欢乐；健康：身体极佳，福寿安康；今日建议：把握好运，大展宏图。,2
